Nome_estado,setor,emp,dep,sit,capital,desp_investimento,lucros,link,indicio_dependencia,tipo_indicio
Acre,OUTROS,Agência de Negócios do Estado do Acre,Dependente,ATIVA,3794518.84,0,-9049391.38,Site não disponível,DEPENDENTE,DEPENDENTE
Acre,DESENVOLVIMENTO REGIONAL,Administradora da Zona de Processamento de Exportação do Acre,Dependente,ATIVA,0,0,0,Site não disponível,DEPENDENTE,DEPENDENTE
Acre,FINANCEIRO,Banco do Estado do Acre,Dependente,EM LIQUIDAÇÃO,0,0,-2582761.78,Site não disponível,DEPENDENTE,DEPENDENTE
Acre,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,Companhia de Armazéns e Entrepostos do Acre,Dependente,ATIVA,0,5560,678045.71,Site não disponível,DEPENDENTE,DEPENDENTE
Acre,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,Companhia Industrial de Laticínios do Acre,Dependente,ATIVA,0,0,0,Site não disponível,DEPENDENTE,DEPENDENTE
Acre,DESENVOLVIMENTO REGIONAL,Companhia de Desenvolvimento Industrial do Acre,Dependente,ATIVA,0,0,0,Site não disponível,DEPENDENTE,DEPENDENTE
Acre,OUTROS,Companhia de Colonização do Acre,Dependente,EM LIQUIDAÇÃO,0,0,14432.11,Site não disponível,DEPENDENTE,DEPENDENTE
Acre,SANEAMENTO,Companhia de Saneamento do Acre,Dependente,ATIVA,0,0,580880.03,https://saneacre.ac.gov.br/relatorios-anuais-de-gestao/,DEPENDENTE,DEPENDENTE
Acre,HABITAÇÃO E URBANIZAÇÃO,Companhia de Habitação do Acre,Dependente,ATIVA,0,293569,3953141.14,Site não disponível,DEPENDENTE,DEPENDENTE
Acre,DESENVOLVIMENTO REGIONAL,Companhia Agência de Desenvolvimento e Serviços Ambientais do Estado do Acre,Dependente,ATIVA,3397100,0,4922.18,https://cdsabusiness.com.br/,DEPENDENTE,DEPENDENTE
Acre,INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO,Empresa de Processamento de Dados do Acre SA,Dependente,ATIVA,0,0,10173506.72,Site não disponível,DEPENDENTE,DEPENDENTE
Acre,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Empresa de Assistência Técnica e Extensão Rural do Acre,Dependente,ATIVA,0,115200,167735.68,Site não disponível,DEPENDENTE,DEPENDENTE
Alagoas,FINANCEIRO,Agência de Fomento de Alagoas,Dependente,ATIVA,0,0,-6442000,https://www.desenvolve-al.com.br/institucional/relatorios-da-administracao/,DEPENDENTE,DEPENDENTE
Alagoas,FINANCEIRO,Banco do Estado de Alagoas SA,Dependente,EM LIQUIDAÇÃO,0,0,-4134931.27,Site não disponível,DEPENDENTE,DEPENDENTE
Alagoas,GESTÃO DE ATIVOS,Companhia Alagoana de Recursos Humanos e Patrimoniais,Dependente,EM LIQUIDAÇÃO,16928865.24,0,0,Site não disponível,DEPENDENTE,DEPENDENTE
Alagoas,GESTÃO DE ATIVOS,Laboratório Industrial Farmacêutico,Dependente,EM LIQUIDAÇÃO,-21306.48,0,0,Site não disponível,DEPENDENTE,DEPENDENTE
Alagoas,GESTÃO DE ATIVOS,Serviços de Engenharia de Alagoas SA,Dependente,EM LIQUIDAÇÃO,0,0,0,Site não disponível,DEPENDENTE,DEPENDENTE
Amapá,SANEAMENTO,Companhia de Água e Esgoto do Amapá,Dependente,ATIVA,0,0,1850796.08,https://caesa.portal.ap.gov.br/pagina/carta-de-servico,DEPENDENTE,DEPENDENTE
Amazonas,TURISMO,Empresa Estadual de Turismo,Dependente,ATIVA,0,0,-613957.52,https://www.amazonastur.am.gov.br/wp-content/uploads/2023/02/Carta-de-Servicos-2023.pdf,DEPENDENTE,DEPENDENTE
Amazonas,SANEAMENTO,Companhia de Saneamento do Amazonas,Dependente,ATIVA,0,4962151.34,-16353424.53,http://www.cosama.am.gov.br/,DEPENDENTE,DEPENDENTE
Amazonas,DESENVOLVIMENTO REGIONAL,Agência de Desenvolvimento Sustentável do Amazonas,Dependente,ATIVA,0,0,514430.93,https://www.ads.am.gov.br/,DEPENDENTE,DEPENDENTE
Bahia,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Bahia Pesca SA,Dependente,ATIVA,0,861350,1711832,https://www.ba.gov.br/bahiapesca/,DEPENDENTE,DEPENDENTE
Bahia,MINERAÇÃO,Companhia Baiana de Pesquisa Mineral,Dependente,ATIVA,0,1668458.7,1803988.99,http://www.cbpm.ba.gov.br/transparencia/carta-anual-de-politicas-publicas-e-governanca-corporativa/,DEPENDENTE,DEPENDENTE
